Risk group,Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
35-64 years,Males,Illawarra Shoalhaven LHD,15/16,117.9,96.9,142.4
35-64 years,Males,Illawarra Shoalhaven LHD,16/17,106.9,86.6,131
35-64 years,Males,Illawarra Shoalhaven LHD,17/18,158.9,133.5,188
35-64 years,Males,Illawarra Shoalhaven LHD,18/19,146.4,122.1,174.4
35-64 years,Males,Illawarra Shoalhaven LHD,19/20,132.4,109,159.4
35-64 years,Males,Illawarra Shoalhaven LHD,20/21,107.2,86.8,131.2
35-64 years,Males,Illawarra Shoalhaven LHD,21/22,67.2,51.7,86.2
35-64 years,Males,Western Sydney LHD,01/02,144.6,124.7,166.9
35-64 years,Males,Western Sydney LHD,02/03,128.1,109.7,148.7
35-64 years,Males,Western Sydney LHD,03/04,119.3,101.7,139.1
35-64 years,Males,Western Sydney LHD,04/05,84.6,70,101.4
35-64 years,Males,Western Sydney LHD,05/06,103,87.1,121
35-64 years,Males,Western Sydney LHD,06/07,114.8,98.2,133.3
35-64 years,Males,Western Sydney LHD,07/08,115.2,98.9,133.4
35-64 years,Males,Western Sydney LHD,08/09,119.8,103.3,138.1
35-64 years,Males,Western Sydney LHD,09/10,91.7,77.4,107.7
35-64 years,Males,Western Sydney LHD,10/11,78.7,65.7,93.5
35-64 years,Males,Western Sydney LHD,11/12,98.5,84,114.7
35-64 years,Males,Western Sydney LHD,12/13,95.4,81.4,111.2
35-64 years,Males,Western Sydney LHD,13/14,101.8,87.4,117.9
35-64 years,Males,Western Sydney LHD,14/15,97.7,83.6,113.4
35-64 years,Males,Western Sydney LHD,15/16,101.9,87.6,117.8
35-64 years,Males,Western Sydney LHD,16/17,117.3,102.1,134.1
35-64 years,Males,Western Sydney LHD,17/18,94.8,81.3,110
35-64 years,Males,Western Sydney LHD,18/19,120.3,105.1,137
35-64 years,Males,Western Sydney LHD,19/20,106.4,92.3,122.2
35-64 years,Males,Western Sydney LHD,20/21,81.9,69.6,95.6
35-64 years,Males,Western Sydney LHD,21/22,59.9,49.6,71.8
35-64 years,Males,Nepean Blue Mountains LHD,01/02,151.6,121.6,186.6
35-64 years,Males,Nepean Blue Mountains LHD,02/03,151.3,121.8,185.5
35-64 years,Males,Nepean Blue Mountains LHD,03/04,93.9,71.6,121
35-64 years,Males,Nepean Blue Mountains LHD,04/05,119.1,93.9,148.9
35-64 years,Males,Nepean Blue Mountains LHD,05/06,102.3,79.8,129.3
35-64 years,Males,Nepean Blue Mountains LHD,06/07,146.6,119.7,177.8
35-64 years,Males,Nepean Blue Mountains LHD,07/08,153.3,126.3,184.6
35-64 years,Males,Nepean Blue Mountains LHD,08/09,127,103.1,155
35-64 years,Males,Nepean Blue Mountains LHD,09/10,103.8,82.4,129.3
35-64 years,Males,Nepean Blue Mountains LHD,10/11,88.5,69.3,111.6
35-64 years,Males,Nepean Blue Mountains LHD,11/12,125.4,102.5,152.3
35-64 years,Males,Nepean Blue Mountains LHD,12/13,103.9,83.2,128.6
35-64 years,Males,Nepean Blue Mountains LHD,13/14,135.5,111.3,163.5
35-64 years,Males,Nepean Blue Mountains LHD,14/15,123.2,100.5,149.8
35-64 years,Males,Nepean Blue Mountains LHD,15/16,145.8,120.9,174.4
35-64 years,Males,Nepean Blue Mountains LHD,16/17,143.2,118.2,172.2
35-64 years,Males,Nepean Blue Mountains LHD,17/18,135.2,111,163.4
35-64 years,Males,Nepean Blue Mountains LHD,18/19,123.9,100.4,151.4
35-64 years,Males,Nepean Blue Mountains LHD,19/20,133.9,109.3,162.6
35-64 years,Males,Nepean Blue Mountains LHD,20/21,77.6,59.3,99.8
35-64 years,Males,Nepean Blue Mountains LHD,21/22,73.3,55.9,94.5
35-64 years,Males,Northern Sydney LHD,01/02,43.2,33.5,54.8
35-64 years,Males,Northern Sydney LHD,02/03,30.5,22.4,40.4
35-64 years,Males,Northern Sydney LHD,03/04,36.8,28,47.6
35-64 years,Males,Northern Sydney LHD,04/05,47.6,37.5,59.5
35-64 years,Males,Northern Sydney LHD,05/06,34.7,26.3,44.9
35-64 years,Males,Northern Sydney LHD,06/07,40.6,31.4,51.7
35-64 years,Males,Northern Sydney LHD,07/08,34.2,26,44.2
35-64 years,Males,Northern Sydney LHD,08/09,36.8,28.4,47
35-64 years,Males,Northern Sydney LHD,09/10,42.5,33.4,53.4
35-64 years,Males,Northern Sydney LHD,10/11,60,49.2,72.5
35-64 years,Males,Northern Sydney LHD,11/12,65.9,54.6,78.8
35-64 years,Males,Northern Sydney LHD,12/13,39.4,30.9,49.6
35-64 years,Males,Northern Sydney LHD,13/14,51.3,41.4,62.9
35-64 years,Males,Northern Sydney LHD,14/15,48,38.5,59.2
35-64 years,Males,Northern Sydney LHD,15/16,65.7,54.6,78.3
35-64 years,Males,Northern Sydney LHD,16/17,30.8,23.4,39.8
35-64 years,Males,Northern Sydney LHD,17/18,43.6,34.9,54
35-64 years,Males,Northern Sydney LHD,18/19,46.8,37.7,57.5
35-64 years,Males,Northern Sydney LHD,19/20,32.4,25.1,41.4
35-64 years,Males,Northern Sydney LHD,20/21,21.7,15.8,29.2
35-64 years,Males,Northern Sydney LHD,21/22,31.7,24.6,40.4
35-64 years,Males,Central Coast LHD,01/02,198.7,163.7,239.1
35-64 years,Males,Central Coast LHD,02/03,206.3,171.1,246.7
35-64 years,Males,Central Coast LHD,03/04,186.1,153.2,224.3
35-64 years,Males,Central Coast LHD,04/05,220.2,184.6,260.8
35-64 years,Males,Central Coast LHD,05/06,237.8,201,279.5
35-64 years,Males,Central Coast LHD,06/07,188.7,156.3,226.1
35-64 years,Males,Central Coast LHD,07/08,187.9,156.3,224.2
35-64 years,Males,Central Coast LHD,08/09,166.3,137.3,199.9
35-64 years,Males,Central Coast LHD,09/10,165.9,137.2,199
35-64 years,Males,Central Coast LHD,10/11,153.8,126.3,185.7
35-64 years,Males,Central Coast LHD,11/12,193.1,162,228.7
35-64 years,Males,Central Coast LHD,12/13,150.8,123.6,182.4
35-64 years,Males,Central Coast LHD,13/14,139.5,113.5,170.1
35-64 years,Males,Central Coast LHD,14/15,183,152.7,217.9
35-64 years,Males,Central Coast LHD,15/16,197,166.4,232
35-64 years,Males,Central Coast LHD,16/17,204.4,173.2,239.9
35-64 years,Males,Central Coast LHD,17/18,206.3,174.9,242.1
35-64 years,Males,Central Coast LHD,18/19,148.6,122,179.6
35-64 years,Males,Central Coast LHD,19/20,161.2,133.9,192.8
35-64 years,Males,Central Coast LHD,20/21,123.7,100.1,151.6
35-64 years,Males,Central Coast LHD,21/22,94.6,73.6,120.1
35-64 years,Males,Hunter New England LHD,01/02,184.7,164.8,206.4
35-64 years,Males,Hunter New England LHD,02/03,163.2,144.8,183.4
35-64 years,Males,Hunter New England LHD,03/04,128.1,112,145.9
35-64 years,Males,Hunter New England LHD,04/05,142.3,125.5,160.9
35-64 years,Males,Hunter New England LHD,05/06,160.5,142.8,179.9
35-64 years,Males,Hunter New England LHD,06/07,139.1,122.8,157
35-64 years,Males,Hunter New England LHD,07/08,169.1,150.9,188.9
35-64 years,Males,Hunter New England LHD,08/09,133.1,117.2,150.7
35-64 years,Males,Hunter New England LHD,09/10,146.4,129.9,164.6
35-64 years,Males,Hunter New England LHD,10/11,163.1,145.8,181.9
35-64 years,Males,Hunter New England LHD,11/12,182,163.8,201.8
35-64 years,Males,Hunter New England LHD,12/13,166.7,149.2,185.7
35-64 years,Males,Hunter New England LHD,13/14,149.2,132.6,167.4
35-64 years,Males,Hunter New England LHD,14/15,145.7,129.6,163.4
35-64 years,Males,Hunter New England LHD,15/16,162.2,145.1,180.9
35-64 years,Males,Hunter New England LHD,16/17,178.8,160.5,198.6
35-64 years,Males,Hunter New England LHD,17/18,166.9,149.3,186.1
35-64 years,Males,Hunter New England LHD,18/19,159.5,142.5,178
35-64 years,Males,Hunter New England LHD,19/20,144.1,128.2,161.6
35-64 years,Males,Hunter New England LHD,20/21,131.7,116.3,148.6
35-64 years,Males,Hunter New England LHD,21/22,157.5,140.2,176.5
35-64 years,Males,Northern NSW LHD,01/02,169.7,137.4,207.4
35-64 years,Males,Northern NSW LHD,02/03,161.8,130.5,198.5
35-64 years,Males,Northern NSW LHD,03/04,127.5,100.4,159.9
35-64 years,Males,Northern NSW LHD,04/05,121.7,95.8,152.8
35-64 years,Males,Northern NSW LHD,05/06,122.4,96.4,153.5
35-64 years,Males,Northern NSW LHD,06/07,116.3,91.5,146.1
35-64 years,Males,Northern NSW LHD,07/08,139,112.3,170.5
35-64 years,Males,Northern NSW LHD,08/09,214.6,181.2,252.6
35-64 years,Males,Northern NSW LHD,09/10,168.3,138.9,202.5
35-64 years,Males,Northern NSW LHD,10/11,199.3,167.4,235.8
35-64 years,Males,Northern NSW LHD,11/12,192.4,161.3,228.2
35-64 years,Males,Northern NSW LHD,12/13,212.9,181,249.2
35-64 years,Males,Northern NSW LHD,13/14,223.3,189.6,261.8
35-64 years,Males,Northern NSW LHD,14/15,241.6,205,283.3
35-64 years,Males,Northern NSW LHD,15/16,204.2,171.1,242.2
35-64 years,Males,Northern NSW LHD,16/17,220.6,187.1,258.9
35-64 years,Males,Northern NSW LHD,17/18,167.8,138.5,201.9
35-64 years,Males,Northern NSW LHD,18/19,195.9,164.4,232.1
35-64 years,Males,Northern NSW LHD,19/20,214.5,181.8,251.9
35-64 years,Males,Northern NSW LHD,20/21,161.4,132.7,194.9
35-64 years,Males,Northern NSW LHD,21/22,148.5,121.8,180
35-64 years,Males,Mid North Coast LHD,01/02,256.8,210.4,310.7
35-64 years,Males,Mid North Coast LHD,02/03,226.2,183.7,276.1
35-64 years,Males,Mid North Coast LHD,03/04,213.5,172.2,262.2
35-64 years,Males,Mid North Coast LHD,04/05,243.2,199,294.7
35-64 years,Males,Mid North Coast LHD,05/06,157.3,122.3,199.5
35-64 years,Males,Mid North Coast LHD,06/07,146.3,113.5,186
35-64 years,Males,Mid North Coast LHD,07/08,161.9,126.4,204.5
35-64 years,Males,Mid North Coast LHD,08/09,169.9,135.9,210.7
35-64 years,Males,Mid North Coast LHD,09/10,169,135.1,209.6
35-64 years,Males,Mid North Coast LHD,10/11,182.8,147.2,225
35-64 years,Males,Mid North Coast LHD,11/12,177.2,141.8,219.3
35-64 years,Males,Mid North Coast LHD,12/13,192.3,154.9,236.7
35-64 years,Males,Mid North Coast LHD,13/14,182.7,146.4,225.9
35-64 years,Males,Mid North Coast LHD,14/15,182.3,146.2,225.2
35-64 years,Males,Mid North Coast LHD,15/16,164.6,131.3,204.7
35-64 years,Males,Mid North Coast LHD,16/17,196.9,160.1,240.5
35-64 years,Males,Mid North Coast LHD,17/18,256.8,213.9,306.6
35-64 years,Males,Mid North Coast LHD,18/19,207.7,168.7,253.7
35-64 years,Males,Mid North Coast LHD,19/20,214.8,176.2,260.1
35-64 years,Males,Mid North Coast LHD,20/21,174.6,139.2,216.8
35-64 years,Males,Mid North Coast LHD,21/22,147.1,115.4,185.6
35-64 years,Males,Southern NSW LHD,01/02,214.2,171.7,264.4
35-64 years,Males,Southern NSW LHD,02/03,240.5,196.4,292
35-64 years,Males,Southern NSW LHD,03/04,230.2,187.6,280.1
35-64 years,Males,Southern NSW LHD,04/05,142.8,109.8,183
35-64 years,Males,Southern NSW LHD,05/06,72.2,49.9,101.6
35-64 years,Males,Southern NSW LHD,06/07,109.1,81,144.2
35-64 years,Males,Southern NSW LHD,07/08,105.1,78.2,138.9
35-64 years,Males,Southern NSW LHD,08/09,94.5,69.6,126
35-64 years,Males,Southern NSW LHD,09/10,152.7,120.3,191.7
35-64 years,Males,Southern NSW LHD,10/11,207.6,169.4,252.4
35-64 years,Males,Southern NSW LHD,11/12,162.6,128.9,202.9
35-64 years,Males,Southern NSW LHD,12/13,122,93.7,156.9
35-64 years,Males,Southern NSW LHD,13/14,101.9,76,134.5
35-64 years,Males,Southern NSW LHD,14/15,147.6,115.5,186.5
35-64 years,Males,Southern NSW LHD,15/16,122.8,94.8,157.2
35-64 years,Males,Southern NSW LHD,16/17,149.9,117.8,188.8
35-64 years,Males,Southern NSW LHD,17/18,184.7,149.8,226.1
35-64 years,Males,Southern NSW LHD,18/19,212.3,174.1,257.2
35-64 years,Males,Southern NSW LHD,19/20,201.7,164.8,244.9
35-64 years,Males,Southern NSW LHD,20/21,165,132,204.4
35-64 years,Males,Southern NSW LHD,21/22,145.3,114.1,183.1
35-64 years,Males,Murrumbidgee LHD,01/02,265.3,221.9,314.9
35-64 years,Males,Murrumbidgee LHD,02/03,243.1,201.7,290.5
35-64 years,Males,Murrumbidgee LHD,03/04,250.7,208.7,298.9
35-64 years,Males,Murrumbidgee LHD,04/05,254.1,212.8,301.4
35-64 years,Males,Murrumbidgee LHD,05/06,187.2,152.1,228.4
35-64 years,Males,Murrumbidgee LHD,06/07,182,147.4,222.5
35-64 years,Males,Murrumbidgee LHD,07/08,169.7,136.7,208.6
35-64 years,Males,Murrumbidgee LHD,08/09,177.8,144.4,217.1
35-64 years,Males,Murrumbidgee LHD,09/10,175.8,142.7,214.8
35-64 years,Males,Murrumbidgee LHD,10/11,162.4,130.6,200.1
35-64 years,Males,Murrumbidgee LHD,11/12,214.8,178.3,257.1
35-64 years,Males,Murrumbidgee LHD,12/13,203.8,167.8,245.6
35-64 years,Males,Murrumbidgee LHD,13/14,195.6,161.7,235.2
35-64 years,Males,Murrumbidgee LHD,14/15,229.3,192.4,272
35-64 years,Males,Murrumbidgee LHD,15/16,217.7,179.9,261.6
35-64 years,Males,Murrumbidgee LHD,16/17,216.1,180.3,257.7
35-64 years,Males,Murrumbidgee LHD,17/18,253.2,213.2,299.2
35-64 years,Males,Murrumbidgee LHD,18/19,208.5,171.9,251.1
35-64 years,Males,Murrumbidgee LHD,19/20,193.7,158.3,235.3
35-64 years,Males,Murrumbidgee LHD,20/21,156.5,124.6,194.6
35-64 years,Males,Murrumbidgee LHD,21/22,165.2,132.3,204.3
35-64 years,Males,Western NSW LHD,01/02,368.8,320.7,422.4
35-64 years,Males,Western NSW LHD,02/03,358.1,310.5,411.1
35-64 years,Males,Western NSW LHD,03/04,366.8,318.6,420.5
35-64 years,Males,Western NSW LHD,04/05,342.5,296.1,394.3
35-64 years,Males,Western NSW LHD,05/06,335,290,385.4
35-64 years,Males,Western NSW LHD,06/07,268.4,228.3,313.8
35-64 years,Males,Western NSW LHD,07/08,322.2,278.6,371
35-64 years,Males,Western NSW LHD,08/09,343.8,298.6,394.2
35-64 years,Males,Western NSW LHD,09/10,292.9,251.9,339.1
35-64 years,Males,Western NSW LHD,10/11,232.8,197,273.5
35-64 years,Males,Western NSW LHD,11/12,220.7,185.8,260.7
35-64 years,Males,Western NSW LHD,12/13,211,176.5,250.7
35-64 years,Males,Western NSW LHD,13/14,190.8,158.1,228.8
35-64 years,Males,Western NSW LHD,14/15,200.4,166.7,239.3
35-64 years,Males,Western NSW LHD,15/16,199.8,165.4,239.6
35-64 years,Males,Western NSW LHD,16/17,242.3,203.8,286.2
35-64 years,Males,Western NSW LHD,17/18,242.3,204.6,285.3
35-64 years,Males,Western NSW LHD,18/19,195.6,161.2,235.5
35-64 years,Males,Western NSW LHD,19/20,240,202.7,282.7
35-64 years,Males,Western NSW LHD,20/21,180.8,148.8,218.1
35-64 years,Males,Western NSW LHD,21/22,142.2,113.5,176.3
35-64 years,Males,Far West LHD,01/02,105.9,45.7,210.3
35-64 years,Males,Far West LHD,02/03,261.2,156.9,409.3
35-64 years,Males,Far West LHD,03/04,164.6,87.5,285
35-64 years,Males,Far West LHD,04/05,198.3,110.8,330
35-64 years,Males,Far West LHD,05/06,237.5,140.1,379.2
35-64 years,Males,Far West LHD,06/07,206.4,113.8,345.1
35-64 years,Males,Far West LHD,07/08,299.4,194.6,445.2
35-64 years,Males,Far West LHD,08/09,173.3,96.3,293.1
35-64 years,Males,Far West LHD,09/10,197.1,113.8,323.4
35-64 years,Males,Far West LHD,10/11,215.3,125.5,349.4
35-64 years,Males,Far West LHD,11/12,168.3,90.4,291.7
35-64 years,Males,Far West LHD,12/13,231.1,128.9,383.6
35-64 years,Males,Far West LHD,13/14,265,157.8,421.3
35-64 years,Males,Far West LHD,14/15,356.3,229.6,532.2
35-64 years,Males,Far West LHD,15/16,322,205,487.8
35-64 years,Males,Far West LHD,16/17,318.3,198.7,488.5
35-64 years,Males,Far West LHD,17/18,327.1,204.3,501.8
35-64 years,Males,Far West LHD,18/19,491.9,333.9,702.8
35-64 years,Males,Far West LHD,19/20,274.6,164.8,436.9
35-64 years,Males,Far West LHD,20/21,410.9,268.8,606
35-64 years,Males,Far West LHD,21/22,325.4,201,504.2
35-64 years,Males,All LHDs,01/02,159,152.2,166
35-64 years,Males,All LHDs,02/03,145.1,138.7,151.8
35-64 years,Males,All LHDs,03/04,133.4,127.3,139.7
35-64 years,Males,All LHDs,04/05,136.7,130.6,143
35-64 years,Males,All LHDs,05/06,129.4,123.5,135.6
35-64 years,Males,All LHDs,06/07,123,117.3,128.9
35-64 years,Males,All LHDs,07/08,128.8,123.1,134.8
35-64 years,Males,All LHDs,08/09,127,121.4,132.8
35-64 years,Males,All LHDs,09/10,118,112.7,123.6
35-64 years,Males,All LHDs,10/11,122.6,117.2,128.3
35-64 years,Males,All LHDs,11/12,134.1,128.5,140
35-64 years,Males,All LHDs,12/13,122.2,116.9,127.8
35-64 years,Males,All LHDs,13/14,121.2,115.9,126.7
35-64 years,Males,All LHDs,14/15,123,117.6,128.5
35-64 years,Males,All LHDs,15/16,126.7,121.3,132.3
35-64 years,Males,All LHDs,16/17,128.4,123,134.1
35-64 years,Males,All LHDs,17/18,130.8,125.4,136.5
35-64 years,Males,All LHDs,18/19,129,123.6,134.6
35-64 years,Males,All LHDs,19/20,118.4,113.3,123.7
35-64 years,Males,All LHDs,20/21,94.6,90.1,99.4
35-64 years,Males,All LHDs,21/22,85.7,81.4,90.2
35-64 years,Females,Sydney LHD,01/02,104.7,84.4,128.4
35-64 years,Females,Sydney LHD,02/03,95.1,75.9,117.5
35-64 years,Females,Sydney LHD,03/04,115.7,94.6,140
35-64 years,Females,Sydney LHD,04/05,102.7,83.2,125.3
35-64 years,Females,Sydney LHD,05/06,94,75.6,115.5
35-64 years,Females,Sydney LHD,06/07,78,61.6,97.3
35-64 years,Females,Sydney LHD,07/08,103.8,85.1,125.5
35-64 years,Females,Sydney LHD,08/09,105.6,87,127
35-64 years,Females,Sydney LHD,09/10,107.7,89.2,128.9
35-64 years,Females,Sydney LHD,10/11,83.8,67.6,102.7
35-64 years,Females,Sydney LHD,11/12,76.5,61.2,94.4
35-64 years,Females,Sydney LHD,12/13,95,78.1,114.5
35-64 years,Females,Sydney LHD,13/14,102.3,84.8,122.2
35-64 years,Females,Sydney LHD,14/15,65.4,51.9,81.5
35-64 years,Females,Sydney LHD,15/16,75.1,60.6,92.1
35-64 years,Females,Sydney LHD,16/17,84.2,69,101.9
35-64 years,Females,Sydney LHD,17/18,79.9,65.2,97.1
35-64 years,Females,Sydney LHD,18/19,68.6,55.2,84.3
35-64 years,Females,Sydney LHD,19/20,78.2,63.7,94.9
35-64 years,Females,Sydney LHD,20/21,40.6,30.3,53.2
35-64 years,Females,Sydney LHD,21/22,45,34.3,58
35-64 years,Females,South Western Sydney LHD,01/02,146.9,127.2,168.6
35-64 years,Females,South Western Sydney LHD,02/03,161.8,141.4,184.3
35-64 years,Females,South Western Sydney LHD,03/04,165.8,145.4,188.2
35-64 years,Females,South Western Sydney LHD,04/05,155.5,135.9,177
35-64 years,Females,South Western Sydney LHD,05/06,136.9,118.9,156.8
35-64 years,Females,South Western Sydney LHD,06/07,146.6,128.4,166.8
35-64 years,Females,South Western Sydney LHD,07/08,166.9,147.8,187.9
35-64 years,Females,South Western Sydney LHD,08/09,140.4,123.2,159.4
35-64 years,Females,South Western Sydney LHD,09/10,162,143.7,182
35-64 years,Females,South Western Sydney LHD,10/11,122,106.5,139.2
35-64 years,Females,South Western Sydney LHD,11/12,156.8,139.3,175.8
35-64 years,Females,South Western Sydney LHD,12/13,115.3,100.6,131.5
35-64 years,Females,South Western Sydney LHD,13/14,123.1,108,139.8
35-64 years,Females,South Western Sydney LHD,14/15,127.9,112.5,144.7
35-64 years,Females,South Western Sydney LHD,15/16,140.7,124.7,158.3
35-64 years,Females,South Western Sydney LHD,16/17,141.9,126,159.2
35-64 years,Females,South Western Sydney LHD,17/18,151.9,135.7,169.7
35-64 years,Females,South Western Sydney LHD,18/19,135.7,120.5,152.3
35-64 years,Females,South Western Sydney LHD,19/20,104.6,91.4,119.3
35-64 years,Females,South Western Sydney LHD,20/21,61.4,51.4,72.7
35-64 years,Females,South Western Sydney LHD,21/22,63.7,53.7,75.1
35-64 years,Females,South Eastern Sydney LHD,01/02,72.4,59.2,87.6
35-64 years,Females,South Eastern Sydney LHD,02/03,61.4,49.3,75.4
35-64 years,Females,South Eastern Sydney LHD,03/04,80.6,66.9,96.3
35-64 years,Females,South Eastern Sydney LHD,04/05,66.3,54,80.6
35-64 years,Females,South Eastern Sydney LHD,05/06,69.3,56.9,83.7
35-64 years,Females,South Eastern Sydney LHD,06/07,58.3,47.1,71.3
35-64 years,Females,South Eastern Sydney LHD,07/08,50.6,40.4,62.7
35-64 years,Females,South Eastern Sydney LHD,08/09,55.3,44.7,67.8
35-64 years,Females,South Eastern Sydney LHD,09/10,48.2,38.4,59.8
35-64 years,Females,South Eastern Sydney LHD,10/11,47,37.2,58.6
35-64 years,Females,South Eastern Sydney LHD,11/12,69.7,57.7,83.4
35-64 years,Females,South Eastern Sydney LHD,12/13,47.5,37.9,58.9
35-64 years,Females,South Eastern Sydney LHD,13/14,51.5,41.6,63.1
35-64 years,Females,South Eastern Sydney LHD,14/15,63.7,52.6,76.5
35-64 years,Females,South Eastern Sydney LHD,15/16,67.9,56.5,81
35-64 years,Females,South Eastern Sydney LHD,16/17,48.5,38.9,59.8
35-64 years,Females,South Eastern Sydney LHD,17/18,51.8,42,63.3
35-64 years,Females,South Eastern Sydney LHD,18/19,58.8,48.4,70.8
35-64 years,Females,South Eastern Sydney LHD,19/20,47.4,38.2,58.1
35-64 years,Females,South Eastern Sydney LHD,20/21,38.1,29.9,47.9
35-64 years,Females,South Eastern Sydney LHD,21/22,37.7,29.6,47.4
35-64 years,Females,Illawarra Shoalhaven LHD,01/02,133.6,108.4,163.1
35-64 years,Females,Illawarra Shoalhaven LHD,02/03,153.1,126.2,184.2
35-64 years,Females,Illawarra Shoalhaven LHD,03/04,145.2,119.7,174.7
35-64 years,Females,Illawarra Shoalhaven LHD,04/05,131.6,107.5,159.7
35-64 years,Females,Illawarra Shoalhaven LHD,05/06,135.4,111.2,163.6
35-64 years,Females,Illawarra Shoalhaven LHD,06/07,128.3,104.6,156
35-64 years,Females,Illawarra Shoalhaven LHD,07/08,125.2,102.3,151.9
35-64 years,Females,Illawarra Shoalhaven LHD,08/09,138.1,114.2,165.8
35-64 years,Females,Illawarra Shoalhaven LHD,09/10,186.6,158.6,218.2
35-64 years,Females,Illawarra Shoalhaven LHD,10/11,166,140.2,195.3
35-64 years,Females,Illawarra Shoalhaven LHD,11/12,187.9,160.8,218.6
35-64 years,Females,Illawarra Shoalhaven LHD,12/13,184.7,158.1,214.8
35-64 years,Females,Illawarra Shoalhaven LHD,13/14,177.6,151.5,207.2
35-64 years,Females,Illawarra Shoalhaven LHD,14/15,175.9,150,205.4
35-64 years,Females,Illawarra Shoalhaven LHD,15/16,171.8,145.7,201.5
35-64 years,Females,Illawarra Shoalhaven LHD,16/17,215.8,186.3,248.8
35-64 years,Females,Illawarra Shoalhaven LHD,17/18,195.8,167.7,227.4
35-64 years,Females,Illawarra Shoalhaven LHD,18/19,168.5,142.7,197.8
35-64 years,Females,Illawarra Shoalhaven LHD,19/20,161.7,135.8,191.2
35-64 years,Females,Illawarra Shoalhaven LHD,20/21,143.3,120.3,169.7
35-64 years,Females,Illawarra Shoalhaven LHD,21/22,112.4,92.6,135.6
35-64 years,Females,Western Sydney LHD,01/02,131.1,111.6,153
35-64 years,Females,Western Sydney LHD,02/03,108.3,90.9,127.9
35-64 years,Females,Western Sydney LHD,03/04,97.9,81.7,116.3
35-64 years,Females,Western Sydney LHD,04/05,110.5,93.6,129.5
35-64 years,Females,Western Sydney LHD,05/06,100.8,84.9,118.8
35-64 years,Females,Western Sydney LHD,06/07,119.6,102.6,138.7
35-64 years,Females,Western Sydney LHD,07/08,95.6,80.8,112.3
35-64 years,Females,Western Sydney LHD,08/09,106.2,90.8,123.5
35-64 years,Females,Western Sydney LHD,09/10,110.7,95.1,128.1
35-64 years,Females,Western Sydney LHD,10/11,112.1,96.6,129.4
35-64 years,Females,Western Sydney LHD,11/12,112.2,96.9,129.2
35-64 years,Females,Western Sydney LHD,12/13,127.8,111.6,145.8
35-64 years,Females,Western Sydney LHD,13/14,131.8,115.4,149.9
35-64 years,Females,Western Sydney LHD,14/15,119.1,103.6,136.2
35-64 years,Females,Western Sydney LHD,15/16,111,96.2,127.4
35-64 years,Females,Western Sydney LHD,16/17,127.5,111.7,144.9
35-64 years,Females,Western Sydney LHD,17/18,112.8,98.1,129.2
35-64 years,Females,Western Sydney LHD,18/19,107.9,93.6,123.7
35-64 years,Females,Western Sydney LHD,19/20,142,125.8,159.8
35-64 years,Females,Western Sydney LHD,20/21,95.9,82.7,110.7
35-64 years,Females,Western Sydney LHD,21/22,91,78.3,105.2
35-64 years,Females,Nepean Blue Mountains LHD,01/02,163.7,132.6,199.7
35-64 years,Females,Nepean Blue Mountains LHD,02/03,198.4,164.5,237.1
35-64 years,Females,Nepean Blue Mountains LHD,03/04,151.2,122.8,184.2
35-64 years,Females,Nepean Blue Mountains LHD,04/05,133.9,107.3,165.1
35-64 years,Females,Nepean Blue Mountains LHD,05/06,146.4,119.1,178.2
35-64 years,Females,Nepean Blue Mountains LHD,06/07,165.6,136.9,198.6
35-64 years,Females,Nepean Blue Mountains LHD,07/08,114.1,90.9,141.4
35-64 years,Females,Nepean Blue Mountains LHD,08/09,177.1,148.3,210
35-64 years,Females,Nepean Blue Mountains LHD,09/10,155.5,129.1,185.8
35-64 years,Females,Nepean Blue Mountains LHD,10/11,161.3,134.5,192
35-64 years,Females,Nepean Blue Mountains LHD,11/12,146.4,121,175.7
35-64 years,Females,Nepean Blue Mountains LHD,12/13,149,123,178.9
35-64 years,Females,Nepean Blue Mountains LHD,13/14,180.4,151.6,213.2
35-64 years,Females,Nepean Blue Mountains LHD,14/15,178.5,150.3,210.7
35-64 years,Females,Nepean Blue Mountains LHD,15/16,154.4,128.7,184.1
35-64 years,Females,Nepean Blue Mountains LHD,16/17,190.3,161.3,223.1
35-64 years,Females,Nepean Blue Mountains LHD,17/18,210.2,179.7,244.5
35-64 years,Females,Nepean Blue Mountains LHD,18/19,172.2,144.8,203.4
35-64 years,Females,Nepean Blue Mountains LHD,19/20,164.4,138.4,194
35-64 years,Females,Nepean Blue Mountains LHD,20/21,103.4,83.4,127.1
35-64 years,Females,Nepean Blue Mountains LHD,21/22,91.9,73.3,114.2
35-64 years,Females,Northern Sydney LHD,01/02,35.4,26.7,46
35-64 years,Females,Northern Sydney LHD,02/03,35.4,26.8,45.8
35-64 years,Females,Northern Sydney LHD,03/04,30,22.2,39.5
35-64 years,Females,Northern Sydney LHD,04/05,36.2,27.6,46.6
35-64 years,Females,Northern Sydney LHD,05/06,34.5,26.2,44.5
35-64 years,Females,Northern Sydney LHD,06/07,35.2,27,45.1
35-64 years,Females,Northern Sydney LHD,07/08,38,29.7,48
35-64 years,Females,Northern Sydney LHD,08/09,35.8,27.7,45.6
35-64 years,Females,Northern Sydney LHD,09/10,43.1,34.3,53.6
35-64 years,Females,Northern Sydney LHD,10/11,59,48.4,71.3
