lhd,date,"Female rate per 100,000 population","Male rate per 100,000 population"
Central Coast,2014-07,29.8,21.8
Central Coast,2014-08,34.3,32.0
Central Coast,2014-09,28.4,19.9
Central Coast,2014-10,28.0,19.5
Central Coast,2014-11,28.0,21.7
Central Coast,2014-12,18.0,33.4
Central Coast,2015-01,19.0,21.7
Central Coast,2015-02,37.6,33.6
Central Coast,2015-03,41.5,34.6
Central Coast,2015-04,39.0,29.7
Central Coast,2015-05,42.7,43.8
Central Coast,2015-06,26.8,41.6
Central Coast,2015-07,37.5,27.4
Central Coast,2015-08,39.6,37.1
Central Coast,2015-09,42.5,25.9
Central Coast,2015-10,21.3,29.4
Central Coast,2015-11,27.0,28.6
Central Coast,2015-12,39.5,32.5
Central Coast,2016-01,25.7,14.9
Central Coast,2016-02,30.6,26.1
Central Coast,2016-03,29.0,20.7
Central Coast,2016-04,33.4,32.2
Central Coast,2016-05,39.2,40.5
Central Coast,2016-06,39.9,34.6
Central Coast,2016-07,25.2,29.2
Central Coast,2016-08,48.6,27.3
Central Coast,2016-09,35.5,33.7
Central Coast,2016-10,34.3,23.6
Central Coast,2016-11,19.3,21.0
Central Coast,2016-12,27.9,19.9
Central Coast,2017-01,19.4,14.8
Central Coast,2017-02,28.3,34.5
Central Coast,2017-03,30.6,32.6
Central Coast,2017-04,45.9,33.0
Central Coast,2017-05,62.1,38.8
Central Coast,2017-06,34.3,31.2
Central Coast,2017-07,29.7,28.9
Central Coast,2017-08,39.9,29.5
Central Coast,2017-09,35.1,19.4
Central Coast,2017-10,24.7,24.0
Central Coast,2017-11,33.5,36.2
Central Coast,2017-12,34.6,25.5
Central Coast,2018-01,21.6,16.6
Central Coast,2018-02,28.5,32.7
Central Coast,2018-03,34.0,21.9
Central Coast,2018-04,25.6,34.7
Central Coast,2018-05,41.0,38.1
Central Coast,2018-06,38.1,36.6
Central Coast,2018-07,39.5,28.6
Central Coast,2018-08,31.9,24.6
Central Coast,2018-09,27.5,25.0
Central Coast,2018-10,30.3,16.0
Central Coast,2018-11,30.3,22.7
Central Coast,2018-12,26.7,28.1
Central Coast,2019-01,23.7,24.4
Central Coast,2019-02,35.7,44.9
Central Coast,2019-03,31.0,31.1
Central Coast,2019-04,34.1,27.2
Central Coast,2019-05,39.8,37.7
Central Coast,2019-06,53.2,38.7
Central Coast,2019-07,36.6,30.3
Central Coast,2019-08,39.6,17.2
Central Coast,2019-09,31.1,20.0
Central Coast,2019-10,24.1,22.8
Central Coast,2019-11,45.1,25.6
Central Coast,2019-12,43.5,36.9
Central Coast,2020-01,21.0,18.8
Central Coast,2020-02,29.2,35.7
Central Coast,2020-03,45.7,49.0
Central Coast,2020-04,24.8,8.4
Central Coast,2020-05,18.9,15.5
Central Coast,2020-06,34.4,39.9
Central Coast,2020-07,23.7,22.7
Central Coast,2020-08,32.3,23.4
Central Coast,2020-09,20.4,20.8
Central Coast,2020-10,18.4,19.9
Central Coast,2020-11,27.4,29.0
Central Coast,2020-12,24.8,12.3
Central Coast,2021-01,22.8,12.9
Central Coast,2021-02,17.8,24.7
Central Coast,2021-03,26.0,31.0
Central Coast,2021-04,28.2,28.2
Central Coast,2021-05,26.6,31.3
Central Coast,2021-06,40.2,30.3
Central Coast,2021-07,23.1,23.6
Central Coast,2021-08,15.4,7.0
Central Coast,2021-09,11.1,7.5
Central Coast,2021-10,14.1,11.3
Central Coast,2021-11,20.4,14.3
Central Coast,2021-12,13.2,10.4
Central Coast,2022-01,18.5,6.7
Central Coast,2022-02,13.2,15.4
Central Coast,2022-03,28.3,26.6
Central Coast,2022-04,37.8,40.2
Central Coast,2022-05,46.4,57.4
Central Coast,2022-06,45.8,30.1
Central Coast,2022-07,35.7,22.5
Central Coast,2022-08,39.4,37.9
Central Coast,2022-09,31.8,35.5
Central Coast,2022-10,27.3,26.0
Central Coast,2022-11,24.0,18.3
Central Coast,2022-12,22.6,18.5
Central Coast,2023-01,18.3,13.8
Central Coast,2023-02,22.8,31.1
Central Coast,2023-03,25.3,29.5
Central Coast,2023-04,26.1,20.7
Central Coast,2023-05,42.0,31.3
Central Coast,2023-06,33.3,23.2
Hunter New England,2014-07,45.3,32.3
Hunter New England,2014-08,49.4,42.6
Hunter New England,2014-09,36.0,26.7
Hunter New England,2014-10,34.4,31.2
Hunter New England,2014-11,24.7,25.9
Hunter New England,2014-12,24.8,29.4
Hunter New England,2015-01,26.5,20.9
Hunter New England,2015-02,34.4,37.5
Hunter New England,2015-03,34.4,40.6
Hunter New England,2015-04,35.5,41.3
Hunter New England,2015-05,53.2,62.9
Hunter New England,2015-06,56.3,53.5
Hunter New England,2015-07,48.3,45.3
Hunter New England,2015-08,54.2,45.9
Hunter New England,2015-09,36.4,31.0
Hunter New England,2015-10,33.8,33.9
Hunter New England,2015-11,33.7,37.5
Hunter New England,2015-12,41.0,38.0
Hunter New England,2016-01,31.1,21.2
Hunter New England,2016-02,35.0,43.8
Hunter New England,2016-03,34.3,36.2
Hunter New England,2016-04,36.6,33.5
Hunter New England,2016-05,41.6,48.1
Hunter New England,2016-06,48.9,44.1
Hunter New England,2016-07,42.8,37.5
Hunter New England,2016-08,51.7,34.9
Hunter New England,2016-09,37.0,38.2
Hunter New England,2016-10,42.1,48.5
Hunter New England,2016-11,42.9,42.4
Hunter New England,2016-12,33.5,28.7
Hunter New England,2017-01,26.4,17.7
Hunter New England,2017-02,32.4,40.6
Hunter New England,2017-03,34.3,43.3
Hunter New England,2017-04,52.5,52.1
Hunter New England,2017-05,61.6,62.2
Hunter New England,2017-06,47.5,49.4
Hunter New England,2017-07,49.6,42.6
Hunter New England,2017-08,40.1,28.8
Hunter New England,2017-09,36.4,33.7
Hunter New England,2017-10,29.6,32.3
Hunter New England,2017-11,26.1,32.2
Hunter New England,2017-12,32.5,31.9
Hunter New England,2018-01,26.3,20.4
Hunter New England,2018-02,34.1,43.0
Hunter New England,2018-03,36.6,41.7
Hunter New England,2018-04,31.3,33.7
Hunter New England,2018-05,46.0,51.7
Hunter New England,2018-06,41.7,44.9
Hunter New England,2018-07,40.1,41.0
Hunter New England,2018-08,35.7,37.2
Hunter New England,2018-09,38.1,30.3
Hunter New England,2018-10,34.2,31.2
Hunter New England,2018-11,41.8,30.1
Hunter New England,2018-12,34.0,30.9
Hunter New England,2019-01,18.8,19.7
Hunter New England,2019-02,34.7,42.5
Hunter New England,2019-03,40.9,34.4
Hunter New England,2019-04,41.3,40.0
Hunter New England,2019-05,53.0,40.7
Hunter New England,2019-06,53.1,45.0
Hunter New England,2019-07,42.1,44.6
Hunter New England,2019-08,43.8,45.4
Hunter New England,2019-09,47.2,29.6
Hunter New England,2019-10,40.6,31.3
Hunter New England,2019-11,51.3,40.6
Hunter New England,2019-12,45.1,36.7
Hunter New England,2020-01,30.0,22.6
Hunter New England,2020-02,31.4,34.1
Hunter New England,2020-03,50.2,37.0
Hunter New England,2020-04,23.3,13.2
Hunter New England,2020-05,18.6,20.5
Hunter New England,2020-06,46.3,52.4
Hunter New England,2020-07,33.7,24.9
Hunter New England,2020-08,31.6,27.4
Hunter New England,2020-09,20.0,24.2
Hunter New England,2020-10,28.4,25.3
Hunter New England,2020-11,29.5,32.4
Hunter New England,2020-12,26.5,31.5
Hunter New England,2021-01,21.0,14.4
Hunter New England,2021-02,29.1,23.8
Hunter New England,2021-03,42.9,37.3
Hunter New England,2021-04,44.7,34.7
Hunter New England,2021-05,53.1,53.9
Hunter New England,2021-06,39.7,36.2
Hunter New England,2021-07,35.7,28.7
Hunter New England,2021-08,26.6,23.6
Hunter New England,2021-09,18.5,11.7
Hunter New England,2021-10,27.7,20.1
Hunter New England,2021-11,24.7,27.3
Hunter New England,2021-12,23.5,23.2
Hunter New England,2022-01,19.6,9.3
Hunter New England,2022-02,18.5,15.9
Hunter New England,2022-03,41.5,45.1
Hunter New England,2022-04,42.3,43.1
Hunter New England,2022-05,58.3,67.2
Hunter New England,2022-06,61.2,53.6
Hunter New England,2022-07,35.5,28.4
Hunter New England,2022-08,48.4,45.9
Hunter New England,2022-09,40.7,44.6
Hunter New England,2022-10,44.5,47.3
Hunter New England,2022-11,30.2,33.2
Hunter New England,2022-12,21.6,17.4
Hunter New England,2023-01,23.2,18.7
Hunter New England,2023-02,28.7,38.4
Hunter New England,2023-03,28.5,29.7
Hunter New England,2023-04,30.2,29.5
Hunter New England,2023-05,39.9,44.3
Hunter New England,2023-06,38.7,39.1
Illawarra Shoalhaven,2014-07,42.1,26.7
Illawarra Shoalhaven,2014-08,39.6,37.5
Illawarra Shoalhaven,2014-09,30.8,26.3
Illawarra Shoalhaven,2014-10,21.1,22.9
Illawarra Shoalhaven,2014-11,29.0,26.9
Illawarra Shoalhaven,2014-12,21.9,24.2
Illawarra Shoalhaven,2015-01,25.0,25.4
Illawarra Shoalhaven,2015-02,33.1,45.4
Illawarra Shoalhaven,2015-03,42.0,40.0
Illawarra Shoalhaven,2015-04,32.8,27.3
Illawarra Shoalhaven,2015-05,49.5,39.4
Illawarra Shoalhaven,2015-06,42.1,40.7
Illawarra Shoalhaven,2015-07,42.5,33.0
Illawarra Shoalhaven,2015-08,51.5,34.1
Illawarra Shoalhaven,2015-09,35.5,29.9
Illawarra Shoalhaven,2015-10,20.2,28.9
Illawarra Shoalhaven,2015-11,32.8,29.2
Illawarra Shoalhaven,2015-12,24.3,30.1
Illawarra Shoalhaven,2016-01,26.8,20.2
Illawarra Shoalhaven,2016-02,42.6,44.6
Illawarra Shoalhaven,2016-03,43.8,31.8
Illawarra Shoalhaven,2016-04,42.7,30.7
Illawarra Shoalhaven,2016-05,46.1,41.7
Illawarra Shoalhaven,2016-06,48.3,37.0
Illawarra Shoalhaven,2016-07,40.5,32.2
Illawarra Shoalhaven,2016-08,42.0,29.5
Illawarra Shoalhaven,2016-09,36.8,34.9
Illawarra Shoalhaven,2016-10,37.9,23.2
Illawarra Shoalhaven,2016-11,31.2,27.0
Illawarra Shoalhaven,2016-12,33.2,23.3
Illawarra Shoalhaven,2017-01,25.9,20.8
Illawarra Shoalhaven,2017-02,43.5,28.2
Illawarra Shoalhaven,2017-03,45.1,33.0
Illawarra Shoalhaven,2017-04,39.6,43.3
Illawarra Shoalhaven,2017-05,39.7,53.3
