"Influenza and pneumonia hospitalisations by Age (years), Sex and LHD",,,,,,
Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
65+ years,Persons,Murrumbidgee LHD,10-Nov,"1,552.50","1,433.90","1,678.30"
65+ years,Persons,Murrumbidgee LHD,11-Dec,"1,560.90","1,443.30","1,685.50"
65+ years,Persons,Murrumbidgee LHD,Dec-13,"1,609.60","1,492.10","1,733.80"
65+ years,Persons,Murrumbidgee LHD,13/14,"1,670.10","1,551.80","1,795.00"
65+ years,Persons,Murrumbidgee LHD,14/15,"1,990.90","1,863.60","2,124.60"
65+ years,Persons,Murrumbidgee LHD,15/16,"1,848.10","1,726.80","1,975.70"
65+ years,Persons,Murrumbidgee LHD,16/17,"1,941.30","1,818.50","2,070.10"
65+ years,Persons,Murrumbidgee LHD,17/18,"2,172.50","2,043.80","2,307.30"
65+ years,Persons,Murrumbidgee LHD,18/19,"1,953.50","1,832.60","2,080.20"
65+ years,Persons,Murrumbidgee LHD,19/20,"2,009.10","1,887.70","2,136.30"
65+ years,Persons,Murrumbidgee LHD,20/21,"1,380.40","1,281.10","1,485.30"
65+ years,Persons,Western NSW LHD,1-Feb,"1,729.00","1,593.90","1,872.40"
65+ years,Persons,Western NSW LHD,2-Mar,"1,855.10","1,716.00","2,002.60"
65+ years,Persons,Western NSW LHD,3-Apr,"1,933.90","1,792.20","2,083.70"
65+ years,Persons,Western NSW LHD,4-May,"1,830.80","1,694.20","1,975.40"
65+ years,Persons,Western NSW LHD,5-Jun,"1,711.00","1,580.90","1,849.00"
65+ years,Persons,Western NSW LHD,6-Jul,"1,545.50","1,423.50","1,675.10"
65+ years,Persons,Western NSW LHD,7-Aug,"1,794.10","1,663.90","1,931.80"
65+ years,Persons,Western NSW LHD,8-Sep,"1,702.70","1,577.30","1,835.30"
65+ years,Persons,Western NSW LHD,9-Oct,"1,668.30","1,546.30","1,797.30"
65+ years,Persons,Western NSW LHD,10-Nov,"1,752.30","1,629.20","1,882.20"
65+ years,Persons,Western NSW LHD,11-Dec,"1,705.40","1,586.00","1,831.30"
65+ years,Persons,Western NSW LHD,Dec-13,"1,855.90","1,733.20","1,985.10"
65+ years,Persons,Western NSW LHD,13/14,"1,615.10","1,502.30","1,734.00"
65+ years,Persons,Western NSW LHD,14/15,"1,817.20","1,698.90","1,941.60"
65+ years,Persons,Western NSW LHD,15/16,"1,884.60","1,764.80","2,010.30"
65+ years,Persons,Western NSW LHD,16/17,"2,228.70","2,099.10","2,364.10"
65+ years,Persons,Western NSW LHD,17/18,"2,108.50","1,984.50","2,238.30"
65+ years,Persons,Western NSW LHD,18/19,"1,679.70","1,570.30","1,794.80"
65+ years,Persons,Western NSW LHD,19/20,"1,637.80","1,531.00","1,750.10"
65+ years,Persons,Western NSW LHD,20/21,"1,236.10","1,144.70","1,332.90"
65+ years,Persons,All LHDs,1-Feb,"1,079.40","1,057.50","1,101.50"
65+ years,Persons,All LHDs,2-Mar,"1,138.70","1,116.50","1,161.30"
65+ years,Persons,All LHDs,3-Apr,"1,124.60","1,102.70","1,146.80"
65+ years,Persons,All LHDs,4-May,"1,124.10","1,102.40","1,146.10"
65+ years,Persons,All LHDs,5-Jun,"1,042.70","1,022.00","1,063.60"
65+ years,Persons,All LHDs,6-Jul,"1,040.30","1,019.90","1,061.00"
65+ years,Persons,All LHDs,7-Aug,"1,176.90","1,155.50","1,198.60"
65+ years,Persons,All LHDs,8-Sep,"1,136.50","1,115.60","1,157.60"
65+ years,Persons,All LHDs,9-Oct,"1,052.20","1,032.50","1,072.20"
65+ years,Persons,All LHDs,10-Nov,"1,135.60","1,115.40","1,156.10"
65+ years,Persons,All LHDs,11-Dec,"1,222.90","1,202.20","1,243.90"
65+ years,Persons,All LHDs,Dec-13,"1,217.70","1,197.40","1,238.30"
65+ years,Persons,All LHDs,13/14,"1,179.90","1,160.10","1,200.00"
65+ years,Persons,All LHDs,14/15,"1,403.60","1,382.20","1,425.20"
65+ years,Persons,All LHDs,15/16,"1,373.20","1,352.40","1,394.30"
65+ years,Persons,All LHDs,16/17,"1,500.30","1,478.80","1,522.10"
65+ years,Persons,All LHDs,17/18,"1,740.20","1,717.40","1,763.30"
65+ years,Persons,All LHDs,18/19,"1,473.50","1,452.80","1,494.40"
65+ years,Persons,All LHDs,19/20,"1,458.70","1,438.50","1,479.20"
65+ years,Persons,All LHDs,20/21,895.5,879.9,911.3
All ages,Males,Sydney LHD,1-Feb,345,319.8,371.7
All ages,Males,Sydney LHD,2-Mar,349.1,323.2,376.6
All ages,Males,Sydney LHD,3-Apr,362.4,335.1,391.3
All ages,Males,Sydney LHD,4-May,364.8,337.5,393.7
All ages,Males,Sydney LHD,5-Jun,285.2,262.7,309
All ages,Males,Sydney LHD,6-Jul,301.6,279.2,325.4
All ages,Males,Sydney LHD,7-Aug,291.4,269.6,314.4
All ages,Males,Sydney LHD,8-Sep,249.4,229.7,270.3
All ages,Males,Sydney LHD,9-Oct,257.6,238,278.5
All ages,Males,Sydney LHD,10-Nov,279.2,258.8,300.7
All ages,Males,Sydney LHD,11-Dec,311.6,290.3,334.1
All ages,Males,Sydney LHD,Dec-13,284.4,264.4,305.5
All ages,Males,Sydney LHD,13/14,265.8,246.8,285.9
All ages,Males,Sydney LHD,14/15,336,314.8,358.2
All ages,Males,Sydney LHD,15/16,337.7,316.7,359.6
All ages,Males,Sydney LHD,16/17,376.6,354.7,399.5
All ages,Males,Sydney LHD,17/18,419.7,396.9,443.5
All ages,Males,Sydney LHD,18/19,384,362.5,406.5
All ages,Males,Sydney LHD,19/20,382,360.9,404
All ages,Males,Sydney LHD,20/21,221.6,205.9,238.3
All ages,Males,South Western Sydney LHD,1-Feb,343.3,321.9,365.7
All ages,Males,South Western Sydney LHD,2-Mar,326.7,306.3,348.1
All ages,Males,South Western Sydney LHD,3-Apr,342.7,322.2,364.3
All ages,Males,South Western Sydney LHD,4-May,302.8,283.7,322.8
All ages,Males,South Western Sydney LHD,5-Jun,255.1,237.9,273.3
All ages,Males,South Western Sydney LHD,6-Jul,270.3,252.5,288.9
All ages,Males,South Western Sydney LHD,7-Aug,301.5,283.3,320.5
All ages,Males,South Western Sydney LHD,8-Sep,300.6,282.8,319.3
All ages,Males,South Western Sydney LHD,9-Oct,280.4,263.7,297.9
All ages,Males,South Western Sydney LHD,10-Nov,296.2,279.1,314
All ages,Males,South Western Sydney LHD,11-Dec,332.4,314.6,351
All ages,Males,South Western Sydney LHD,Dec-13,295.5,278.9,312.9
All ages,Males,South Western Sydney LHD,13/14,291,274.8,307.8
All ages,Males,South Western Sydney LHD,14/15,339.4,322.1,357.4
All ages,Males,South Western Sydney LHD,15/16,361.2,343.8,379.4
All ages,Males,South Western Sydney LHD,16/17,386.1,368.3,404.6
All ages,Males,South Western Sydney LHD,17/18,434.3,415.7,453.5
All ages,Males,South Western Sydney LHD,18/19,413.1,395.3,431.5
All ages,Males,South Western Sydney LHD,19/20,384.7,367.7,402.2
All ages,Males,South Western Sydney LHD,20/21,233.6,220.6,247.1
All ages,Males,South Eastern Sydney LHD,1-Feb,282,264.4,300.4
All ages,Males,South Eastern Sydney LHD,2-Mar,292.5,274.8,311
All ages,Males,South Eastern Sydney LHD,3-Apr,301.1,283.2,319.8
All ages,Males,South Eastern Sydney LHD,4-May,281.8,264.8,299.7
All ages,Males,South Eastern Sydney LHD,5-Jun,270.1,253.5,287.6
All ages,Males,South Eastern Sydney LHD,6-Jul,262.9,246.7,279.9
All ages,Males,South Eastern Sydney LHD,7-Aug,276,259.6,293.2
All ages,Males,South Eastern Sydney LHD,8-Sep,256.9,241.3,273.3
All ages,Males,South Eastern Sydney LHD,9-Oct,258.6,243.1,274.8
All ages,Males,South Eastern Sydney LHD,10-Nov,260.5,245,276.6
All ages,Males,South Eastern Sydney LHD,11-Dec,304.6,288.1,321.8
All ages,Males,South Eastern Sydney LHD,Dec-13,258.9,243.9,274.7
All ages,Males,South Eastern Sydney LHD,13/14,240.2,225.8,255.3
All ages,Males,South Eastern Sydney LHD,14/15,309,292.8,325.9
All ages,Males,South Eastern Sydney LHD,15/16,291.4,275.9,307.6
All ages,Males,South Eastern Sydney LHD,16/17,316,300.1,332.6
All ages,Males,South Eastern Sydney LHD,17/18,351.5,334.9,368.7
All ages,Males,South Eastern Sydney LHD,18/19,368.3,351.2,386
All ages,Males,South Eastern Sydney LHD,19/20,337.9,321.8,354.7
All ages,Males,South Eastern Sydney LHD,20/21,187.1,175.3,199.5
All ages,Males,Illawarra Shoalhaven LHD,1-Feb,286.8,261.9,313.4
All ages,Males,Illawarra Shoalhaven LHD,2-Mar,251.4,228.5,276
All ages,Males,Illawarra Shoalhaven LHD,3-Apr,252.2,229.3,276.7
All ages,Males,Illawarra Shoalhaven LHD,4-May,293.5,269,319.7
All ages,Males,Illawarra Shoalhaven LHD,5-Jun,280.3,256.4,305.8
All ages,Males,Illawarra Shoalhaven LHD,6-Jul,259.6,237.2,283.5
All ages,Males,Illawarra Shoalhaven LHD,7-Aug,282.5,259.1,307.4
All ages,Males,Illawarra Shoalhaven LHD,8-Sep,335.6,310.5,362.2
All ages,Males,Illawarra Shoalhaven LHD,9-Oct,328.7,304.1,354.8
All ages,Males,Illawarra Shoalhaven LHD,10-Nov,294.4,271.7,318.6
All ages,Males,Illawarra Shoalhaven LHD,11-Dec,305.1,282.3,329.2
All ages,Males,Illawarra Shoalhaven LHD,Dec-13,331.6,308.3,356.2
All ages,Males,Illawarra Shoalhaven LHD,13/14,345,321.5,369.8
All ages,Males,Illawarra Shoalhaven LHD,14/15,387.5,362.4,413.9
All ages,Males,Illawarra Shoalhaven LHD,15/16,350.1,326.3,375.3
All ages,Males,Illawarra Shoalhaven LHD,16/17,349.8,326.6,374.3
All ages,Males,Illawarra Shoalhaven LHD,17/18,416.8,391.9,442.9
All ages,Males,Illawarra Shoalhaven LHD,18/19,401.5,377,427.2
All ages,Males,Illawarra Shoalhaven LHD,19/20,395.7,371.6,421.1
All ages,Males,Illawarra Shoalhaven LHD,20/21,258.3,239,278.7
All ages,Males,Western Sydney LHD,1-Feb,311.1,289.4,333.9
All ages,Males,Western Sydney LHD,2-Mar,299.1,278.1,321.2
All ages,Males,Western Sydney LHD,3-Apr,317.1,295.9,339.3
All ages,Males,Western Sydney LHD,4-May,283.7,263.5,305
All ages,Males,Western Sydney LHD,5-Jun,291.7,271.5,313
All ages,Males,Western Sydney LHD,6-Jul,291.3,271.6,312
All ages,Males,Western Sydney LHD,7-Aug,311.6,291.5,332.6
All ages,Males,Western Sydney LHD,8-Sep,304.6,285,325.2
All ages,Males,Western Sydney LHD,9-Oct,317.2,297.8,337.5
All ages,Males,Western Sydney LHD,10-Nov,305.7,286.8,325.5
All ages,Males,Western Sydney LHD,11-Dec,348,328.2,368.6
All ages,Males,Western Sydney LHD,Dec-13,301.8,283.8,320.7
All ages,Males,Western Sydney LHD,13/14,330.3,311.9,349.5
All ages,Males,Western Sydney LHD,14/15,335.9,317.5,355.1
All ages,Males,Western Sydney LHD,15/16,344.5,326.4,363.3
All ages,Males,Western Sydney LHD,16/17,351.9,333.8,370.7
All ages,Males,Western Sydney LHD,17/18,413.8,394.6,433.7
All ages,Males,Western Sydney LHD,18/19,397.2,378.9,416.1
All ages,Males,Western Sydney LHD,19/20,365.6,348.4,383.5
All ages,Males,Western Sydney LHD,20/21,228,214.7,242
All ages,Males,Nepean Blue Mountains LHD,1-Feb,410.2,374,448.7
All ages,Males,Nepean Blue Mountains LHD,2-Mar,344.1,312.6,377.7
All ages,Males,Nepean Blue Mountains LHD,3-Apr,362,330.1,395.9
All ages,Males,Nepean Blue Mountains LHD,4-May,364.9,332.2,399.8
All ages,Males,Nepean Blue Mountains LHD,5-Jun,341.5,309.4,375.8
All ages,Males,Nepean Blue Mountains LHD,6-Jul,344.1,312.9,377.5
All ages,Males,Nepean Blue Mountains LHD,7-Aug,447.8,412,485.7
All ages,Males,Nepean Blue Mountains LHD,8-Sep,340.9,309.9,374
All ages,Males,Nepean Blue Mountains LHD,9-Oct,325.6,296.5,356.7
All ages,Males,Nepean Blue Mountains LHD,10-Nov,413.6,380.7,448.4
All ages,Males,Nepean Blue Mountains LHD,11-Dec,372.1,341,405.2
All ages,Males,Nepean Blue Mountains LHD,Dec-13,329,300.6,359.3
All ages,Males,Nepean Blue Mountains LHD,13/14,342.5,314.1,372.9
All ages,Males,Nepean Blue Mountains LHD,14/15,392.5,362.4,424.3
All ages,Males,Nepean Blue Mountains LHD,15/16,391.9,362.4,423.2
All ages,Males,Nepean Blue Mountains LHD,16/17,372.5,344,402.7
All ages,Males,Nepean Blue Mountains LHD,17/18,479.6,447.7,513.3
All ages,Males,Nepean Blue Mountains LHD,18/19,425.4,395.8,456.6
All ages,Males,Nepean Blue Mountains LHD,19/20,376.5,349,405.5
All ages,Males,Nepean Blue Mountains LHD,20/21,247.3,225.5,270.6
All ages,Males,Northern Sydney LHD,1-Feb,248.5,232.4,265.4
All ages,Males,Northern Sydney LHD,2-Mar,247.3,231.4,263.9
All ages,Males,Northern Sydney LHD,3-Apr,251.5,235.6,268.2
All ages,Males,Northern Sydney LHD,4-May,264.3,248.2,281.3
All ages,Males,Northern Sydney LHD,5-Jun,242.9,227.4,259
All ages,Males,Northern Sydney LHD,6-Jul,240.2,225,256.1
All ages,Males,Northern Sydney LHD,7-Aug,280.1,264,297
All ages,Males,Northern Sydney LHD,8-Sep,268.7,253.1,285
All ages,Males,Northern Sydney LHD,9-Oct,247.1,232.4,262.5
All ages,Males,Northern Sydney LHD,10-Nov,267,251.8,282.9
All ages,Males,Northern Sydney LHD,11-Dec,283.3,267.8,299.5
All ages,Males,Northern Sydney LHD,Dec-13,241.3,227.2,256
All ages,Males,Northern Sydney LHD,13/14,257.5,243.1,272.5
All ages,Males,Northern Sydney LHD,14/15,306.7,291.1,323
All ages,Males,Northern Sydney LHD,15/16,334.9,318.7,351.7
All ages,Males,Northern Sydney LHD,16/17,319.8,304.2,336
All ages,Males,Northern Sydney LHD,17/18,382.4,365.4,399.9
All ages,Males,Northern Sydney LHD,18/19,357.5,341.3,374.4
All ages,Males,Northern Sydney LHD,19/20,338.1,322.3,354.5
All ages,Males,Northern Sydney LHD,20/21,182.5,171.2,194.5
All ages,Males,Central Coast LHD,1-Feb,294.6,268.3,322.8
All ages,Males,Central Coast LHD,2-Mar,317.7,290.6,346.8
All ages,Males,Central Coast LHD,3-Apr,308.5,281.6,337.3
All ages,Males,Central Coast LHD,4-May,278.8,253.4,306.1
All ages,Males,Central Coast LHD,5-Jun,321.6,294.5,350.6
All ages,Males,Central Coast LHD,6-Jul,270.3,246.1,296.4
All ages,Males,Central Coast LHD,7-Aug,306.9,281.2,334.3
All ages,Males,Central Coast LHD,8-Sep,280.2,255.9,306.3
All ages,Males,Central Coast LHD,9-Oct,285,260.7,311
All ages,Males,Central Coast LHD,10-Nov,330.9,304.9,358.7
All ages,Males,Central Coast LHD,11-Dec,305.2,280.5,331.6
All ages,Males,Central Coast LHD,Dec-13,316.7,291.7,343.3
All ages,Males,Central Coast LHD,13/14,317.3,292.8,343.3
All ages,Males,Central Coast LHD,14/15,402.9,374.9,432.6
All ages,Males,Central Coast LHD,15/16,404.2,376.4,433.6
All ages,Males,Central Coast LHD,16/17,324.7,300.7,350.3
All ages,Males,Central Coast LHD,17/18,421.9,394.1,451.2
All ages,Males,Central Coast LHD,18/19,420.6,392.4,450.3
All ages,Males,Central Coast LHD,19/20,409.5,382,438.5
All ages,Males,Central Coast LHD,20/21,219.2,199.7,240.1
All ages,Males,Hunter New England LHD,1-Feb,354.7,336.2,373.8
All ages,Males,Hunter New England LHD,2-Mar,355.9,337.6,375
All ages,Males,Hunter New England LHD,3-Apr,362.9,344.6,382
All ages,Males,Hunter New England LHD,4-May,371.9,353.5,391
All ages,Males,Hunter New England LHD,5-Jun,326.1,308.9,343.9
All ages,Males,Hunter New England LHD,6-Jul,330.3,313.4,347.9
All ages,Males,Hunter New England LHD,7-Aug,330.7,313.8,348.2
All ages,Males,Hunter New England LHD,8-Sep,323.1,306.6,340.2
All ages,Males,Hunter New England LHD,9-Oct,316.6,300.4,333.3
All ages,Males,Hunter New England LHD,10-Nov,321.5,305.4,338.3
All ages,Males,Hunter New England LHD,11-Dec,358.1,341.2,375.6
All ages,Males,Hunter New England LHD,Dec-13,305.2,289.9,321.1
All ages,Males,Hunter New England LHD,13/14,325.8,310.1,342
All ages,Males,Hunter New England LHD,14/15,391,373.9,408.6
All ages,Males,Hunter New England LHD,15/16,398.7,381.4,416.6
All ages,Males,Hunter New England LHD,16/17,395.7,378.8,413.2
All ages,Males,Hunter New England LHD,17/18,462.5,444.4,481.1
All ages,Males,Hunter New England LHD,18/19,420,402.7,437.8
All ages,Males,Hunter New England LHD,19/20,381.6,365.3,398.4
All ages,Males,Hunter New England LHD,20/21,257.9,244.9,271.4
All ages,Males,Northern NSW LHD,1-Feb,375.9,344,409.9
All ages,Males,Northern NSW LHD,2-Mar,362.3,331.2,395.5
All ages,Males,Northern NSW LHD,3-Apr,346.5,316.1,379.2
All ages,Males,Northern NSW LHD,4-May,306.6,278.4,337
All ages,Males,Northern NSW LHD,5-Jun,328.9,299.3,360.7
All ages,Males,Northern NSW LHD,6-Jul,282.3,255.6,311.2
All ages,Males,Northern NSW LHD,7-Aug,350.7,321.2,382.2
All ages,Males,Northern NSW LHD,8-Sep,313,285.3,342.6
All ages,Males,Northern NSW LHD,9-Oct,342.4,313.3,373.6
All ages,Males,Northern NSW LHD,10-Nov,306.5,279.4,335.5
All ages,Males,Northern NSW LHD,11-Dec,348.9,320.5,379.2
All ages,Males,Northern NSW LHD,Dec-13,287,261.5,314.3
All ages,Males,Northern NSW LHD,13/14,325.9,298.3,355.4
All ages,Males,Northern NSW LHD,14/15,320.6,293.8,349.2
All ages,Males,Northern NSW LHD,15/16,387.6,357.9,419.2
All ages,Males,Northern NSW LHD,16/17,375.9,347.4,406.3
All ages,Males,Northern NSW LHD,17/18,445,413.8,478.1
All ages,Males,Northern NSW LHD,18/19,400.1,369.7,432.4
All ages,Males,Northern NSW LHD,19/20,414.1,384,446.1
All ages,Males,Northern NSW LHD,20/21,225.8,204.4,249.1
All ages,Males,Mid North Coast LHD,1-Feb,381.6,343.4,423
All ages,Males,Mid North Coast LHD,2-Mar,427.1,387.2,470
All ages,Males,Mid North Coast LHD,3-Apr,504.8,461.3,551.5
All ages,Males,Mid North Coast LHD,4-May,421.5,382.9,463.1
All ages,Males,Mid North Coast LHD,5-Jun,403.7,365.9,444.4
All ages,Males,Mid North Coast LHD,6-Jul,389.1,352.4,428.7
All ages,Males,Mid North Coast LHD,7-Aug,430.9,392.7,471.8
All ages,Males,Mid North Coast LHD,8-Sep,391,354.7,430
All ages,Males,Mid North Coast LHD,9-Oct,376.8,341.6,414.8
All ages,Males,Mid North Coast LHD,10-Nov,340.1,308.2,374.7
All ages,Males,Mid North Coast LHD,11-Dec,393,358.3,430.4
All ages,Males,Mid North Coast LHD,Dec-13,399.6,365.3,436.6
All ages,Males,Mid North Coast LHD,13/14,324.7,295.1,356.8
All ages,Males,Mid North Coast LHD,14/15,399.9,366.2,436.1
All ages,Males,Mid North Coast LHD,15/16,451.9,414.9,491.5
All ages,Males,Mid North Coast LHD,16/17,407.4,373,444.4
All ages,Males,Mid North Coast LHD,17/18,428.2,393.2,465.6
All ages,Males,Mid North Coast LHD,18/19,399.1,365.3,435.2
All ages,Males,Mid North Coast LHD,19/20,392.9,359.4,428.9
All ages,Males,Mid North Coast LHD,20/21,292.6,264,323.6
All ages,Males,Southern NSW LHD,1-Feb,350.9,312.3,393
All ages,Males,Southern NSW LHD,2-Mar,376,336.3,419
All ages,Males,Southern NSW LHD,3-Apr,397.7,357.2,441.6
All ages,Males,Southern NSW LHD,4-May,371.6,333.4,413
All ages,Males,Southern NSW LHD,5-Jun,322,287,360.2
All ages,Males,Southern NSW LHD,6-Jul,298.6,265,335.3
All ages,Males,Southern NSW LHD,7-Aug,406.6,367.8,448.5
All ages,Males,Southern NSW LHD,8-Sep,391.8,354.6,431.9
All ages,Males,Southern NSW LHD,9-Oct,391.5,354.5,431.5
All ages,Males,Southern NSW LHD,10-Nov,456.5,416.7,499.2
All ages,Males,Southern NSW LHD,11-Dec,432.4,394.3,473.4
All ages,Males,Southern NSW LHD,Dec-13,362.3,328.2,399.2
All ages,Males,Southern NSW LHD,13/14,354.1,320.4,390.5
All ages,Males,Southern NSW LHD,14/15,371.9,337.5,408.9
All ages,Males,Southern NSW LHD,15/16,414.9,378.7,453.8
All ages,Males,Southern NSW LHD,16/17,451.2,414,491
All ages,Males,Southern NSW LHD,17/18,505.3,466.5,546.6
All ages,Males,Southern NSW LHD,18/19,457.8,420.5,497.6
All ages,Males,Southern NSW LHD,19/20,425.4,390.2,463
All ages,Males,Southern NSW LHD,20/21,306.4,277.3,337.9
All ages,Males,Murrumbidgee LHD,1-Feb,464.6,425.4,506.3
All ages,Males,Murrumbidgee LHD,2-Mar,534.8,493.3,578.9
All ages,Males,Murrumbidgee LHD,3-Apr,475.2,435.9,517
All ages,Males,Murrumbidgee LHD,4-May,485.3,445.4,527.7
All ages,Males,Murrumbidgee LHD,5-Jun,509.7,470.1,551.8
All ages,Males,Murrumbidgee LHD,6-Jul,421.8,386,460.1
All ages,Males,Murrumbidgee LHD,7-Aug,484.8,446.6,525.4
All ages,Males,Murrumbidgee LHD,8-Sep,465.7,428.7,505.1
All ages,Males,Murrumbidgee LHD,9-Oct,446.1,410,484.6
All ages,Males,Murrumbidgee LHD,10-Nov,520,481.4,561
All ages,Males,Murrumbidgee LHD,11-Dec,504.5,466.9,544.4
All ages,Males,Murrumbidgee LHD,Dec-13,438.9,404.2,475.8
All ages,Males,Murrumbidgee LHD,13/14,459.5,424.2,496.9
All ages,Males,Murrumbidgee LHD,14/15,562.2,523.7,602.9
All ages,Males,Murrumbidgee LHD,15/16,577.6,538.2,619.1
All ages,Males,Murrumbidgee LHD,16/17,536.3,498.8,575.9
All ages,Males,Murrumbidgee LHD,17/18,590.3,551.1,631.6
All ages,Males,Murrumbidgee LHD,18/19,574.7,535.9,615.7
All ages,Males,Murrumbidgee LHD,19/20,509.6,473.8,547.5
All ages,Males,Murrumbidgee LHD,20/21,377.6,347.2,410.2
All ages,Males,Western NSW LHD,1-Feb,569.8,528.6,613.5
All ages,Males,Western NSW LHD,2-Mar,614,571.4,659
All ages,Males,Western NSW LHD,3-Apr,658.9,614.6,705.6
All ages,Males,Western NSW LHD,4-May,598.7,556.3,643.4
All ages,Males,Western NSW LHD,5-Jun,554.7,514.5,597.1
All ages,Males,Western NSW LHD,6-Jul,488.2,451.1,527.6
All ages,Males,Western NSW LHD,7-Aug,544.3,505.2,585.5
All ages,Males,Western NSW LHD,8-Sep,504.7,467.6,544
All ages,Males,Western NSW LHD,9-Oct,553.1,514.2,594.1
All ages,Males,Western NSW LHD,10-Nov,531.6,494.2,571.1
All ages,Males,Western NSW LHD,11-Dec,511.8,475.6,550.2
All ages,Males,Western NSW LHD,Dec-13,507.8,472.4,545.2
All ages,Males,Western NSW LHD,13/14,427.1,394.7,461.4
All ages,Males,Western NSW LHD,14/15,483.2,449.1,519.2
All ages,Males,Western NSW LHD,15/16,545.3,508.9,583.7
All ages,Males,Western NSW LHD,16/17,599.5,561.8,639.3
All ages,Males,Western NSW LHD,17/18,565.2,528.6,603.7
All ages,Males,Western NSW LHD,18/19,487.4,453.5,523.2
All ages,Males,Western NSW LHD,19/20,458.9,426.1,493.7
All ages,Males,Western NSW LHD,20/21,338.9,311.2,368.5
All ages,Males,All LHDs,1-Feb,337,330.4,343.8
All ages,Males,All LHDs,2-Mar,340.2,333.6,347
All ages,Males,All LHDs,3-Apr,346.3,339.7,353
All ages,Males,All LHDs,4-May,333,326.5,339.5
All ages,Males,All LHDs,5-Jun,313.7,307.5,320
All ages,Males,All LHDs,6-Jul,305.9,299.9,312.1
All ages,Males,All LHDs,7-Aug,336.1,329.9,342.5
All ages,Males,All LHDs,8-Sep,317.5,311.5,323.6
All ages,Males,All LHDs,9-Oct,314.5,308.6,320.5
All ages,Males,All LHDs,10-Nov,324.3,318.4,330.2
All ages,Males,All LHDs,11-Dec,345.6,339.6,351.7
All ages,Males,All LHDs,Dec-13,312.8,307.1,318.5
All ages,Males,All LHDs,13/14,314.2,308.6,319.8
All ages,Males,All LHDs,14/15,363.9,357.9,369.9
All ages,Males,All LHDs,15/16,377.1,371.1,383.2
All ages,Males,All LHDs,16/17,378,372.1,384
All ages,Males,All LHDs,17/18,433.2,426.9,439.5
All ages,Males,All LHDs,18/19,408.5,402.5,414.6
All ages,Males,All LHDs,19/20,381.7,376,387.5
All ages,Males,All LHDs,20/21,239,234.5,243.5
All ages,Females,Sydney LHD,1-Feb,222.3,204.1,241.7
All ages,Females,Sydney LHD,2-Mar,219.4,201.6,238.5
All ages,Females,Sydney LHD,3-Apr,221.1,203.2,240.2
All ages,Females,Sydney LHD,4-May,214.7,197.4,233.2
All ages,Females,Sydney LHD,5-Jun,201.7,184.6,219.9
All ages,Females,Sydney LHD,6-Jul,184.1,168.3,201
All ages,Females,Sydney LHD,7-Aug,212.9,196,230.8
All ages,Females,Sydney LHD,8-Sep,193.2,177.3,210.2
All ages,Females,Sydney LHD,9-Oct,202.8,186.3,220.4
All ages,Females,Sydney LHD,10-Nov,220.2,203.4,238.1
All ages,Females,Sydney LHD,11-Dec,220.1,203.5,237.7
All ages,Females,Sydney LHD,Dec-13,198.2,182.7,214.7
All ages,Females,Sydney LHD,13/14,203.5,187.9,220.1
All ages,Females,Sydney LHD,14/15,261.7,244,280.4
All ages,Females,Sydney LHD,15/16,260.9,243.4,279.3
All ages,Females,Sydney LHD,16/17,280.6,262.8,299.3
All ages,Females,Sydney LHD,17/18,319.9,301.1,339.4
All ages,Females,Sydney LHD,18/19,281.5,263.9,299.9
All ages,Females,Sydney LHD,19/20,297.2,279.3,315.9
All ages,Females,Sydney LHD,20/21,172.8,159.3,187.2
All ages,Females,South Western Sydney LHD,1-Feb,218.9,204.2,234.3
All ages,Females,South Western Sydney LHD,2-Mar,249.7,234.1,266.2
All ages,Females,South Western Sydney LHD,3-Apr,252.7,237,269.1
All ages,Females,South Western Sydney LHD,4-May,237.5,222.4,253.3
All ages,Females,South Western Sydney LHD,5-Jun,234.6,219.8,250.1
All ages,Females,South Western Sydney LHD,6-Jul,218.2,204.2,233
All ages,Females,South Western Sydney LHD,7-Aug,248.2,233.4,263.8
All ages,Females,South Western Sydney LHD,8-Sep,218.1,204.3,232.6
All ages,Females,South Western Sydney LHD,9-Oct,236.4,222.2,251.2
All ages,Females,South Western Sydney LHD,10-Nov,231.2,217.3,245.7
All ages,Females,South Western Sydney LHD,11-Dec,268.9,254,284.5
All ages,Females,South Western Sydney LHD,Dec-13,235.9,222.2,250.3
All ages,Females,South Western Sydney LHD,13/14,237.2,223.6,251.5
All ages,Females,South Western Sydney LHD,14/15,297.4,282.3,313.2
All ages,Females,South Western Sydney LHD,15/16,308.9,293.7,324.8
All ages,Females,South Western Sydney LHD,16/17,328.5,312.9,344.6
All ages,Females,South Western Sydney LHD,17/18,378.6,362.2,395.6
All ages,Females,South Western Sydney LHD,18/19,358.4,342.6,374.8
All ages,Females,South Western Sydney LHD,19/20,326.3,311.4,341.7
All ages,Females,South Western Sydney LHD,20/21,176.4,165.7,187.7
All ages,Females,South Eastern Sydney LHD,1-Feb,210.7,197,225.2
All ages,Females,South Eastern Sydney LHD,2-Mar,228.4,214,243.4
All ages,Females,South Eastern Sydney LHD,3-Apr,224.7,210.6,239.5
All ages,Females,South Eastern Sydney LHD,4-May,207.4,194,221.5
